ten_file,ma_container,nguon,trang_thai
27-0_jpg.rf.04b29741e72dee0b93f3f23b3d66a392.jpg,,,KHONG_CO_ANNOTATION
IMG_0189_ce_png_jpg.rf.a7ed5fc2be6d405025b1bb99c20d3ecb.jpg,,gemini,CHUA_DOC_DUOC
IMG_20230101_154922_region_jpg.rf.a6f43c81f832c4953fed0bdede8df428.jpg,CXNU1309090,gemini,THANH_CONG
103-1_jpg.rf.1414cbc5171b966d021824724585f06d.jpg,,,KHONG_CO_ANNOTATION
IMG_20221218_145807_region_jpg.rf.72527ebd4b4cc286531c69f50d7ab33f.jpg,,gemini,CHUA_DOC_DUOC
IMG_20230101_153733_region_jpg.rf.d878398920b72465fa0840eba3c763f3.jpg,,gemini,CHUA_DOC_DUOC
IMG_0502_region_JPG_jpg.rf.fbed67e7cd04199bd085d5bd7443d6cc.jpg,CXNU1820540,gemini,THANH_CONG
IMG_20230101_155058_region_jpg.rf.3ee3e715fc73bd9a6d425385c394a960.jpg,CXNU1949939,gemini,THANH_CONG
IMG_20221218_150836_region_jpg.rf.818e2455bce4b73bd6e4c8f7a15ed65b.jpg,CXNU1540998,gemini,THANH_CONG
IMG_0541_ce_png_jpg.rf.f96ced049ea9d0fab16c60670e1f7bce.jpg,,gemini,CHUA_DOC_DUOC
IMG_20230101_153641_region_jpg.rf.b699b40583b7838048c60360ab441551.jpg,CXNU1809557,gemini,THANH_CONG
IMG_0481_ce_png_jpg.rf.bd2f0545e84f2c60db23221c8a0861d3.jpg,SEGU2021151,gemini,THANH_CONG
91-0_jpg.rf.c0ddec147044453cdd5a50ae2bc79f15.jpg,,,KHONG_CO_ANNOTATION
IMG_20221218_145343_region_jpg.rf.673b8ca987e667e8d65fa29c73fad141.jpg,,gemini,CHUA_DOC_DUOC
131-0_jpg.rf.c3b71ac2735bfa1c13efa8c626037075.jpg,,,KHONG_CO_ANNOTATION
IMG_20221218_145813_region_jpg.rf.b1e419360042dbb748d4af11f40d8f98.jpg,,gemini,CHUA_DOC_DUOC
IMG_0952_ce_png_jpg.rf.1aeddca2b685f97188f04d878e96e22f.jpg,,gemini,CHUA_DOC_DUOC
IMG_20230101_153508_region_jpg.rf.2ffbe7ffa109d0c30e7637d48202fa16.jpg,CXNU1937922,openrouter,THANH_CONG
IMG_0504_ce_png_jpg.rf.3eee77fe9a64528b0648cebf8250f785.jpg,CXNU1835089,openrouter,THANH_CONG
